FOTOWEBCAM,Dobratsch,"Fotowebcam,Dobratsch - Villacher Alpe - Blick nach Westen ins Gailtal,http://www.foto-webcam.eu/webcam/dobratsch/current/400.jpg,Intervall:600,Direction:270",46.60355,13.67034,,
FOTOWEBCAM,Obervellach,"Fotowebcam,Obervellach / Almgasthof Himmelbauer - Blick nach Suedosten,http://www.foto-webcam.eu/webcam/obervellach/current/400.jpg,Intervall:600,Direction:135",46.948143,13.168184,,
FOTOWEBCAM,Raggaschlucht,"Fotowebcam,Flattach - Blick in die Raggaschlucht,http://www.foto-webcam.eu/webcam/raggaschlucht/current/400.jpg,Intervall:0,Direction:290",46.924241,13.140799,,
FOTOWEBCAM,Flattach,"Fotowebcam,Flattach / Grafenberg - Blick zum Appartementhaus Lercher,http://www.foto-webcam.eu/webcam/flattach/current/400.jpg,Intervall:1800,Direction:98",46.936398,13.077082,,
FOTOWEBCAM,Rangersdorf,"Fotowebcam,Rangersdorf / Hotel Margarethenbad - Blick nach Nordosten,http://www.foto-webcam.eu/webcam/rangersdorf/current/400.jpg,Intervall:600,Direction:40",46.851116,12.928944,,
FOTOWEBCAM,Ederplan,"Fotowebcam,Rangersdorf / Ederplan - Blick nach Nordosten,http://www.foto-webcam.eu/webcam/ederplan/current/400.jpg,Intervall:1800,Direction:40",46.824917,12.897797,,
FOTOWEBCAM,Winklern,"Fotowebcam,Winklern im Moelltal / Penzelberg - Blick nach Osten,http://www.foto-webcam.eu/webcam/winklern/current/400.jpg,Intervall:600,Direction:111",46.872885,12.86306,,
FOTOWEBCAM,Moertschach,"Fotowebcam,Moertschach im Moelltal / Lorenzalm - Blick nach Norden,http://www.foto-webcam.eu/webcam/lorenzalm/current/400.jpg,Intervall:600,Direction:348",46.896542,12.915701,,
FOTOWEBCAM,Moertschachberg,"Fotowebcam,Moertschach / Klabischnighof - Blick Richtung Lienzer Dolomiten,http://www.foto-webcam.eu/webcam/moertschach/current/400.jpg,Intervall:600,Direction:220",46.923418,12.921735,,
FOTOWEBCAM,Astental Ost,"Fotowebcam,Astental / Sadnighaus - Blick nach Nordosten,http://www.foto-webcam.eu/webcam/sadnighaus/current/400.jpg,Intervall:600,Direction:45",46.954847,12.961083,,
