DA/AL-077,Denneberg,DA/AL-077,47.5278,10.0844,1427
DA/AL-078,Thaler Hoehe,DA/AL-078,47.5764,10.1167,1166
DA/AL-079,Schwarzer Grat,DA/AL-079,47.6922,10.1256,1118
DA/AL-080,Tiefenbacher Eck,DA/AL-080,47.5283,10.3672,1569
DA/AL-081,Jochschrofen,DA/AL-081,47.5236,10.3936,1625
DA/AL-082,Hirschberg,DA/AL-082,47.5186,10.3764,1500
DA/AL-083,Rottachberg,DA/AL-083,47.5908,10.2936,1116
DA/AL-084,Alpspitze,DA/AL-084,47.5978,10.4958,1575
DA/AL-085,Kappelkoepfl,DA/AL-085,47.5986,10.5031,1461
DA/AL-086,Einerkopf,DA/AL-086,47.5681,10.6006,1260
DA/AL-087,Hohenfreyberg,DA/AL-087,47.6136,10.5875,1041
DA/AL-088,Hochegg,DA/AL-088,47.6636,10.6942,902
DA/AL-089,Sulzberg,DA/AL-089,47.655,10.6544,921
DA/AL-090,Upratsberg,DA/AL-090,47.8417,10.4642,899
DA/AL-091,Bergmangalpe,DA/AL-091,47.825,10.5664,855
DA/AL-092,Ellenberg,DA/AL-092,47.7447,10.5922,798
DA/AL-093,Oberellegg,DA/AL-093,47.6206,10.4,1136
DA/AL-094,Hohe Schulter,DA/AL-094,47.7406,10.4422,941
DA/AL-095,Mittelberg,DA/AL-095,47.6403,10.4269,1092
DA/AL-096,Oberschwarzenberg,DA/AL-096,47.6719,10.4578,966
DA/AL-097,Gehrenkopf,DA/AL-097,47.4653,10.4564,1896
DA/AL-098,Hinterer Wilder,DA/AL-098,47.3667,10.3889,2359
DA/AL-099,Mitteleck,DA/AL-099,47.3756,10.3806,1835
DA/AL-100,Musskopf,DA/AL-100,47.2908,10.245,1968
DA/AL-101,Mutzenkopf,DA/AL-101,47.2811,10.2331,1692
DA/AL-102,Spaetengundkopf,DA/AL-102,47.3186,10.2892,1993
DA/AL-103,Stuibenkopf,DA/AL-103,47.4858,10.4283,1830
DA/AL-104,Traufberg,DA/AL-104,47.3389,10.3164,1601
DA/AL-105,Zerrerkoepfle,DA/AL-105,47.4769,10.4678,1946
DA/AL-107,Bolsterlanger Horn,DA/AL-107,47.4592,10.2083,1588
DA/AL-108,Gatterkopf,DA/AL-108,47.3886,10.1503,1659
DA/AL-109,Geissberg,DA/AL-109,47.4153,10.2186,1372
DA/AL-110,Geisswiedenkopf,DA/AL-110,47.4269,10.2025,1544
DA/AL-111,Grauenstein,DA/AL-111,47.4583,10.1569,1640
DA/AL-113,Kaehberg,DA/AL-113,47.38,10.1689,1528
DA/AL-114,Kl. Ochsenkopf,DA/AL-114,47.4667,10.18,1571
DA/AL-115,Mitteralpenkopf,DA/AL-115,47.4711,10.1831,1443
DA/AL-116,Rehkoepfl,DA/AL-116,47.4267,10.1111,1477
DA/AL-118,Schafkopf,DA/AL-118,47.4258,10.1742,1585
DA/AL-119,Schwarzenberg,DA/AL-119,47.4306,10.2106,1385
DA/AL-120,Hirscheck,DA/AL-120,47.3803,10.0975,1922
DA/AL-121,Riesenkopf,DA/AL-121,47.4117,10.1131,1480
DA/AL-123,Samstenberg,DA/AL-123,47.4669,10.0678,1513
DA/AL-124,Ostertalberg,DA/AL-124,47.4856,10.1669,1383
DA/AL-126,Blaessleskopf,DA/AL-126,47.5331,10.3514,1320
DA/AL-127,Gehrenkoepfle,DA/AL-127,47.5661,10.4161,1504
DA/AL-128,Geissruecken,DA/AL-128,47.5644,10.3844,1220
DA/AL-129,Gigglstein,DA/AL-129,47.5606,10.335,1497
DA/AL-130,Kuehberg,DA/AL-130,47.5794,10.4003,1290
DA/AL-131,Rosskopf,DA/AL-131,47.5342,10.3683,1596
DA/AL-132,Starzlachberg,DA/AL-132,47.5578,10.4061,1585
DA/AL-133,Wolfsbuechel,DA/AL-133,47.54,10.3408,1085
DA/AL-135,Kahlenberg,DA/AL-135,47.4828,10.3139,1017
DA/AL-136,Kuehberg,DA/AL-136,47.4878,10.3133,986
DA/AL-137,Elbkopf,DA/AL-137,47.3194,10.2408,2102
DA/AL-138,Haldenwangerkopf,DA/AL-138,47.275,10.1733,2002
DA/AL-140,Soellerkopf,DA/AL-140,47.3617,10.2331,1910
DA/AL-141,Ringang,DA/AL-141,47.3622,10.2608,1022
DA/AL-142,Sattelkopf,DA/AL-142,47.3789,10.2478,1422
DA/AL-143,Alpenrosenkoepfle,DA/AL-143,47.4928,10.3789,1004
DA/AL-144,Burgschrofen,DA/AL-144,47.4894,10.3558,1334
DA/AL-145,Gaissalphorn,DA/AL-145,47.4194,10.3189,1953
DA/AL-146,Gaissfuss,DA/AL-146,47.4178,10.3267,1991
DA/AL-148,Hengst,DA/AL-148,47.4406,10.3994,1989
DA/AL-151,Mittagspitz,DA/AL-151,47.4528,10.4156,1662
DA/AL-152,Oestl. Wengenkopf,DA/AL-152,47.4256,10.3606,2207
DA/AL-154,Sonthofer Hoernle,DA/AL-154,47.4767,10.3378,1525
DA/AL-156,Pfannenhoelzer,DA/AL-156,47.4486,10.4031,1908
DA/AL-158,Eschers,DA/AL-158,47.8478,10.3767,901
DA/AL-159,Kreuzelspitz,DA/AL-159,47.5467,10.3017,1496
DA/AL-160,Imbergkamm,DA/AL-160,47.5122,10.0289,1305
DA/AL-161,Jochgern,DA/AL-161,47.3597,10.3708,1448
DA/AL-162,Hoefats Suedgipfel,DA/AL-162,47.365,10.3531,2257
DA/AL-163,Hoefats Ostgipfel,DA/AL-163,47.3661,10.3506,2259
DA/AL-164,Hoefats Nordgipfel,DA/AL-164,47.3717,10.35,2257
DA/AL-166,Huendlekopf,DA/AL-166,47.5406,10.0578,1112
DA/AL-167,Huettenberg,DA/AL-167,47.5653,10.0697,1103
DA/AL-168,Kuehberg,DA/AL-168,47.5975,10.1433,1035
DA/AL-169,Stoffelberg,DA/AL-169,47.6369,10.2239,1063
DA/AL-170,Kalzhofener Hoehe,DA/AL-170,47.5803,10.0625,1118
DA/AL-171,Kalzhofner Berg,DA/AL-171,47.5742,10.0386,1007
DA/AL-173,Muttner Hoehe,DA/AL-173,47.5778,10.0517,1067
DA/AL-174,Brosisellegghoehe,DA/AL-174,47.6003,10.3611,1117
DA/AL-175,Auf´m Berg,DA/AL-175,47.6489,10.6006,900
DA/AL-176,Illasberg,DA/AL-176,47.6483,10.7556,852
DA/AL-177,Kuehberg,DA/AL-177,47.4008,10.2907,912
DA/AL-178,Hafner,DA/AL-178,47.414,10.255,911
DA/AL-179,Burgberg,DA/AL-179,47.4185,10.2487,994
DA/AL-180,Grosser Josberg,DA/AL-180,47.5981,10.5471,961
DA/AM-001,Zahn,DA/AM-001,47.5842,11.0256,1619
DA/AM-002,Puerschling,DA/AM-002,47.5828,10.9933,1566
DA/AM-003,Dreisaeuler Kopf,DA/AM-003,47.585,10.944,1629
DA/AM-004,Brunnenkopf,DA/AM-004,47.5836,10.9247,1718
DA/AM-005,Kleine Klammspitze,DA/AM-005,47.5839,10.9089,1882
DA/AM-007,Hasentalkopf,DA/AM-007,47.5656,10.8747,1797
DA/AM-008,Loesertalkopf,DA/AM-008,47.5589,10.8761,1859
DA/AM-009,Weitalpspitze,DA/AM-009,47.5492,10.8633,1870
DA/AM-010,Kenzenkopf,DA/AM-010,47.5614,10.8478,1745
DA/AM-011,Hochblasse,DA/AM-011,47.5475,10.8392,1989
DA/AM-012,Gabelschrofen,DA/AM-012,47.555,10.8231,1989
DA/AM-013,Spitzigschroefle,DA/AM-013,47.5658,10.7939,1652
DA/AM-014,Pilgerschrofen,DA/AM-014,47.5397,10.7417,1769
DA/AM-015,Zunderkopf,DA/AM-015,47.5306,10.7672,1726
DA/AM-016,Duerrenberg,DA/AM-016,47.5203,10.7636,1797
DA/AM-017,Schlagstein,DA/AM-017,47.5308,10.7889,1680
DA/AM-018,Kuchelbergspitz,DA/AM-018,47.5411,10.9425,2020
DA/AM-019,Kuchelbergkopf,DA/AM-019,47.5356,10.9261,2026
DA/AM-020,Friederspitz,DA/AM-020,47.5175,10.9592,2049
DA/AM-021,Sunkenkopf,DA/AM-021,47.5047,10.9322,1766
DA/AM-022,Bruenstelskopf,DA/AM-022,47.5394,11.0472,1814
DA/AM-023,Windstierlkopf,DA/AM-023,47.5314,11.0081,1824
DA/AM-024,Kieneckspitze,DA/AM-024,47.5458,11.005,1943
DA/AM-025,Ettaler Manndl,DA/AM-025,47.5844,11.1153,1633
DA/AM-026,Buchenberg,DA/AM-026,47.6061,10.8117,1142
DA/AM-027,Hochriesskopf,DA/AM-027,47.6272,10.8597,1470
DA/AM-028,Goergeleck,DA/AM-028,47.6214,10.8411,1429
DA/AM-029,Muehlschartenkopf,DA/AM-029,47.6181,10.8322,1308
DA/AM-030,Rohrkopf,DA/AM-030,47.5706,10.7806,1361
DA/AM-031,Hornburg,DA/AM-031,47.5717,10.7689,1172
DA/AM-032,Tegelberg,DA/AM-032,47.5561,10.7753,1880
DA/AM-033,Altenberg,DA/AM-033,47.5217,10.8028,1751
DA/AM-034,Aschauer Berg,DA/AM-034,47.6303,11.1111,1231
DA/AM-035,Aschlerberg,DA/AM-035,47.6439,11.0828,1430
DA/AM-036,Kleiner Aufacker,DA/AM-036,47.6144,11.1072,1533
DA/AM-037,Baumgartenkoepfl,DA/AM-037,47.5922,10.9181,1489
DA/AM-038,Bena Koepfl,DA/AM-038,47.5472,10.7836,1593
DA/AM-039,Herziges Bergel,DA/AM-039,47.5981,10.8586,1152
DA/AM-041,Brameck,DA/AM-041,47.6103,10.9119,1162
DA/AM-042,Brameckkoepfel,DA/AM-042,47.6097,10.8994,1287
DA/AM-043,Hoher Brand,DA/AM-043,47.5006,10.9131,1764
DA/AM-044,Brandjoch,DA/AM-044,47.5061,10.9089,1957
