# This file is generated from data from 
# http://www.viewfinderpanoramas.org/ (Alps)  and
# http://www.alpin-koordinaten.de/    (Nepal)
#
# local additions
#
loc_1,PARSEIERSPITZE,,47.174257,10.478691,3036
#
# Thu Feb 26 12:00:46 CET 2009
# and is included in the gipfel tarball with the kind permission of
# Jonathan de Ferranti and www.alpin-koordinaten.de
#
# Nepal peaks from http://www.alpin-koordinaten.de
#
HMLCHW,Himalchuli West,,28.43528,84.61861,7540
HMLUNG,Himalung,,28.76944,84.42194,7126
HUNCHL,Hiunchuli,,28.51083,83.85083,6441
HONGDE,Hongde,,28.84278,83.49917,6556
HNCPYR,Hongku Chuli (Pyramid),,27.81667,87.01139,6809
HUNGCH,Hungchi,,28.03472,86.75833,7036
IMTISL,Imja Tse (Island Peak),,27.92083,86.93528,6183
JNKOTL,Janak (Outlier),,27.87222,88.09361,7035
JASAMB,Jasamba,,28.08139,86.60639,7351
JMSNHM,Jaumson Himal,,28.84222,84.14389,6120
JTHBHR,Jethibahurani,,29.88222,81.04361,6850
JIRBNG,Jirbang,,28.62361,83.45167,6062
JOGSNG,Jogsang,,27.88111,88.13556,7483
JYCHYN,Jyachhyunga,,30.10611,81.08528,6338
KLHML,Kali Himal,,27.87778,86.975,6974
KMBNPK,Kambon Peak,,28.65833,83.30694,6570
KNCHLK,Kanchauni Lekh,,29.23722,82.79306,6444
KNCHNJ,Kanchenjunga,,27.7025,88.15028,8586
KNCHNC,Kanchenjunga Central,,27.70139,88.15694,8482
KNCHNJ,Kanchenjunga South,,27.69194,88.15694,8476
KNHNCH,Kande Hiunchuli,,29.41111,82.56028,6627
KNDUMB,Kandumbu,,30.235,81.39167,6219
KNGGUR,Kang Guru,,28.6575,84.30139,6981
KNNYNT,Kang Nyung Than,,29.39222,82.755,6248
KNGTKL,Kang Tokal,,28.80028,83.16806,6294
KANGAT,Kangata,,27.95,87.84028,6242
KNGBCH,Kangbachen,,27.71667,88.11333,7903
KNGKUR,KangKuru,,27.98778,86.51389,6242
KANGTG,Kangtega,,27.79222,86.81861,6779
KNJROB,Kanjeroba,,29.23333,82.87639,6612
KNJRMP,Kanjiroba Main Peak,,29.37889,82.64028,6883
KNSHNM,Kanshung Tse (Makalu II),,27.91583,87.07889,7678
KNSHRM,Kanshurm,,28.17139,85.74111,6078
KNSDLP,Kansi Dalpha,,29.28333,82.55389,6386
KPCHUL,Kap Chuli,,29.84778,81.04083,6467
KARKO,Karko,,29.92056,81.2175,6015
KRYLNG,Karyolung,,27.73194,86.61528,6511
KAWAND,Kawande,,27.80028,86.63389,6011
KHTMKL,Khabur (Tumaklung),,27.68806,87.995,6331
KHMJNH,Khamjungar Himal,,28.88944,84.12778,6700
KHNGSK,Khangsar Kang (Roc Noir),,28.61389,83.87472,7485
KHATNG,Khatang,,27.75694,86.59722,6782
KHTNKN,Khatung Kang,,28.7775,83.92139,6484
KHAYNG,Khayang,,28.63333,84.70833,6186
KHJNGS,Khojangsouth,,28.83028,85.14583,6049
KHISLN,Khongma Tse (IslandPeak),,27.92083,86.93722,6160
KHMBTK,Khumbatshay (Khumbu Tse),,28.02028,86.87306,6636
KRCTNT,Kirat Chuli (TentPeak),,27.78611,88.19861,7365
KKTHNG,Kokthang,,27.56389,88.08333,6147
KMBKRJ,Kumbakarna (Jannu),,27.68278,88.04583,7710
KSMKNG,Kusum Kanguru,,27.73056,86.79111,6367
KYJORI,Kyajori,,27.90833,86.67444,6148
KYASHR,Kyashar,,27.755,86.825,6767
KYUNGR,Kyunga Ri,,28.29611,85.66806,6601
LMJNHM,Lamjung Himal,,28.48944,84.19167,6983
LNGDK,Lang Dak,,27.91667,86.5625,6336
LANGPO,Langpo,,28.49778,85.10417,6668.3
LNGPPK,Langpo Peak,,27.85417,88.19722,6954
LNGSSR,Langsisa Ri,,28.21694,85.71361,6427
LNGTLR,Langtang Lirung,,28.25611,85.51944,7234
LRKGRN,Larkya (Granite),,28.64611,84.53333,6249
LASA,Lasa,,30.13556,81.08306,6189
LRBNPS,Laurebina pass,,28.07306,85.42953,4662
LNGNWS,Leonpo Gang(West),,28.20278,85.81639,6733
LHSHMM,Lhashamma,,29.22639,82.74722,6412
LHOTSE,Lho Tse,,27.9625,86.93417,8516
LHTSSH,Lhotse Shar,,27.95833,86.94306,8400
LKCPHS,Likhu Chuli (Pig Pherago Shar),,27.80694,86.54222,6718
LCWPHR,Likhu Chuli West (PheragoNup),,27.80417,86.52083,6660
LNGTRN,Lingtren,,28.0275,86.85472,6714
LPULKH,Lipu Lekh,,30.05222,81.09222,6644
LOBUJE,Lobuje,,27.96889,86.78472,6119
LBJWST,Lobuje West,,27.97222,86.77917,6145
LNPGNG,Loenpo Gang,,28.19583,85.8,6979
LURHML,Luri Himal,,28.26028,85.50083,6958
MAKLUI,Makalu I,,27.88972,87.94306,8463
MLNGPH,Malangphutang,,27.8075,86.87,6575
MNPTHI,Manapathi,,28.64556,83.45833,6380
MANSLU,Manaslu,,28.54944,84.56194,8163
MNSNRH,Manaslu Norht Peak,,28.60389,84.77806,7157
MANSIL,Mansail,,29.30194,83.81278,6235
MERA,Mera,,27.77417,86.91111,6654
MERRA,Merra,,27.74083,88.01667,6334
MUKUT,Mukut,,28.81694,83.48222,6087
MYGDMT,Mygdi Matha,,28.65972,83.3225,6273
NGCHPK,Nagdi Chuli (Pk29),,28.50361,84.56917,7871
NLKNKR,Nalakankar,,30.3575,81.39944,6062
NAMPA,Nampa,,30.00833,81,6755
NAULKH,Nau Lekh,,27.68722,86.90556,6358
NPLPK,Nepal Peak,,27.77694,88.67528,6910
NGJMKN,Ngojumba Kang,,28.10611,86.70611,7743
NLGNRT,Nialgiri North,,28.68917,83.74667,7061
NLGCNT,Nilgiri Central,,28.67917,83.73861,6940
NLGRST,Nilgiri South,,28.65417,83.73278,6839
NIRKHA,Nirekha,,27.97694,86.76528,6139
NRBKNG,Norbukang,,29.11722,83.09278,6005
NUMBUR,Numbur,,27.75417,86.57444,6957
NUPTSE,Nup Tse,,27.96722,86.88722,7855
OMKNGR,Omi Kang Ri,,27.89778,87.96417,6829
PBGNSI,Pabil (Ganesh) IV,,28.33528,85.12194,7052
PHTBPY,Pahtibhra (Pyramid),,27.82083,88.175,7123
PTHMBG,Palta Thumba (Milchberg),,29.30056,82.60889,6126
PAMLAK,Pamlaka,,27.94083,86.34528,6349
PNLOTP,Panalotapa,,27.80472,86.57111,6696
PNGBUK,Pangbuk,,28.00417,86.51944,6631
PRCHMC,Parchemuche,,27.83056,86.54583,6187
PSHUWO,Pashuwo,,28.53167,85.16778,6177
PTHBPY,Pathibhara (Pyramid Peak),,27.82083,88.175,6837
PTHBHS,Pathibharaast (Sphinx),,27.82361,88.19167,6837
PATRLI,Patrali,,29.42278,82.5875,6450
PTHNGT,Pethang Tse,,27.9575,87.01556,6739
PSBTHN,Phole Sobithongje,,27.68694,88.01028,6645
PSBTHN,Phole Sobithongje I,,27.68639,88.02833,6669
PHNPCW,Phunphun Chuli (Wedge),,29.27139,82.77444,6102
PHRCHY,Phurbo Chyachu,,28.13056,85.86944,6637
PSNGPK,Pisang Peak,,29.64917,84.19028,6091
PRVNHM,Purvung Himal,,28.13444,84.01972,6465
PTHNCH,Putha Hiunchuli,,27.74889,83.14861,7246
RMTHCH,Ramthang Chang (Wedge Peak),,27.78111,88.0875,6812
RMTHKB,Ramthang Karpo Ri (Dom Blanc),,28.24889,85.74861,6865
RMTHNG,Ramthong,,27.75,88.085,6700
RNPLDP,Rani Peak (Lidania Peak),,28.46778,84.68417,6459
RTHONG,Rathong,,27.59361,88.09083,6679
RTNCHL,RatnaChuli,,28.86472,84.36722,7035
SGRMEV,Sagarmatha (Mount Everest),,27.98806,86.92528,8848
SAHSAR,Sahsar,,28.85167,84.20889,6188
SAIPAL,Saipal,,29.88722,81.49528,7031
SLSNGN,Salasungo (Ganesh) III,,28.34583,85.07972,7110
SMPNGB,Samdo (PangBuki),,28.63583,84.69444,6335.1
SAULA,Saula,,28.61389,84.75472,6235
SENUP,Senup,,27.86556,87.77889,6257
SRKDHL,Serku Dholma,,29.33917,82.76472,6227
SHARTS,Shar Tse,,27.96556,86.98333,7459
SHRPUI,Sharpu II,,27.73139,87.90722,6336
SHRTP3,SharTse II (Peak-38),,27.95583,86.96556,7591
SSHKJN,Shey Shikhar (Junction Peak),,29.28694,82.79639,6139
SMNHME,Simnag Himal East,,28.51667,84.43694,6251
SCFLTD,Singu Chuli (FlutedPeak),,28.5875,83.885,6501
SINKOR,Sinkor,,27.93194,86.54639,6380
STCHCH,Sita Chuchura,,28.78333,83.48528,6611
SORBUN,Soribun,,28.88472,84.17278,6328
SWLKHN,Swelokhang,,28.725,84.64444,6180
TABASR,Tabasar,,28.58083,85.05889,6065
TAKRGO,Takargo,,27.875,86.51167,6782
TALUNG,Talung,,27.65417,88.13361,7349
TNSHRP,Tanga (Sharphu),,27.75333,87.92083,6410
TNGKNG,Tangkongma,,27.80833,88.07583,6224
